Sample	Read1	Read2	Notes	readpair_counts
BR_r_B6_05_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_05_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_05_8w/R2_final.fq.gz	NA	7594537
BR_r_B6_06_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_06_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_06_8w/R2_final.fq.gz	NA	8770197
BR_r_B6_07_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_07_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_07_8w/R2_final.fq.gz	NA	5711135
BR_r_B6_08_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_08_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_08_8w/R2_final.fq.gz	NA	1341572
BR_r_B6_09_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_09_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_09_8w/R2_final.fq.gz	NA	7027657
BR_r_B6_10_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_10_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_10_8w/R2_final.fq.gz	NA	13406779
BR_r_B6_21_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_21_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_21_8w/R2_final.fq.gz	NA	7940934
BR_r_B6_22_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_22_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_22_8w/R2_final.fq.gz	NA	2569304
BR_r_B6_23_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_23_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_23_8w/R2_final.fq.gz	NA	3657967
BR_r_B6_24_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_24_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_24_8w/R2_final.fq.gz	NA	3881910
BR_r_B6_25_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_25_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_25_8w/R2_final.fq.gz	NA	3989534
BR_r_B6_26_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_26_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_26_8w/R2_final.fq.gz	NA	3402153
BR_r_B6_37_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_37_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_37_8w/R2_final.fq.gz	NA	3699311
BR_r_B6_38_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_38_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_38_8w/R2_final.fq.gz	NA	3859921
