Muribaculaceae
Lactobacillaceae
Oscillospiraceae
Butyricicoccaceae
Lachnospiraceae
Ruminococcaceae
Eggerthellaceae
Acutalibacteraceae
Borkfalkiaceae
Rikenellaceae
CAG-552
Desulfovibrionaceae
Tannerellaceae
Marinifilaceae
Erysipelotrichaceae
