Nanosyncoccaceae
Lachnospiraceae
CAG-552
RUG14156
Acutalibacteraceae
Oscillospiraceae
Ruminococcaceae
CAG-274
Lactobacillaceae
Bacteroidaceae
UBA932
Muribaculaceae
Rikenellaceae
