UBA660
Lachnospiraceae
Muribaculaceae
Ruminococcaceae
Lactobacillaceae
Rikenellaceae
Erysipelotrichaceae
RUG14156
Bacteroidaceae
Acutalibacteraceae
Nanosyncoccaceae
Butyricicoccaceae
Anaerovoracaceae
CAG-274
Eggerthellaceae
Marinifilaceae
Borkfalkiaceae
CHK158-818
Oscillospiraceae
Acidaminococcaceae
Tannerellaceae
Gastranaerophilaceae
Anaerotignaceae
UBA932
