Muribaculaceae
Lachnospiraceae
Lactobacillaceae
CAG-552
Oscillospiraceae
Eggerthellaceae
Bacteroidaceae
Acutalibacteraceae
Desulfovibrionaceae
Acidaminococcaceae
Tannerellaceae
Gastranaerophilaceae
Marinifilaceae
P3
Butyricicoccaceae
