CHK158-818
Rikenellaceae
Desulfovibrionaceae
Oscillospiraceae
Eggerthellaceae
Lachnospiraceae
Acutalibacteraceae
Lactobacillaceae
UBA932
Erysipelotrichaceae
Marinifilaceae
UBA660
P3
Muribaculaceae
Ruminococcaceae
CAG-274
Bacteroidaceae
