CHK158-818
Acidaminococcaceae
Rikenellaceae
Desulfovibrionaceae
Lachnospiraceae
Lactobacillaceae
Eggerthellaceae
Acutalibacteraceae
Muribaculaceae
UBA932
Erysipelotrichaceae
Bacteroidaceae
Marinifilaceae
UBA660
Ruminococcaceae
CAG-274
RUG14156
Butyricicoccaceae
