CHK158-818
Acidaminococcaceae
Rikenellaceae
Desulfovibrionaceae
Oscillospiraceae
Eggerthellaceae
Lachnospiraceae
Enterobacteriaceae
Acutalibacteraceae
Lactobacillaceae
UBA932
Erysipelotrichaceae
Marinifilaceae
UBA660
P3
Ruminococcaceae
CAG-274
Muribaculaceae
Bacteroidaceae
