Nanosyncoccaceae
Lachnospiraceae
CAG-552
Borkfalkiaceae
RUG14156
Acutalibacteraceae
Oscillospiraceae
Ruminococcaceae
Butyricicoccaceae
CAG-274
Lactobacillaceae
Marinifilaceae
Bacteroidaceae
UBA932
Muribaculaceae
Rikenellaceae
