UBA660
Muribaculaceae
Ruminococcaceae
Lactobacillaceae
Lachnospiraceae
Oscillospiraceae
Rikenellaceae
Bacteroidaceae
Erysipelotrichaceae
Acutalibacteraceae
Eggerthellaceae
Nanosyncoccaceae
CAG-274
Borkfalkiaceae
CHK158-818
CAG-552
Desulfovibrionaceae
Marinifilaceae
